parent	names	summary	details	attribute
access	allow	A rule that grants a permission type.		FALSE
access	deny	A rule that revokes a permission type.		FALSE
access	references	The id of another element in this EML document to be used to here in this context.		FALSE
access	id			TRUE
access	system			TRUE
access	scope			TRUE
access	order	The order in which the allow and deny rules should be applied.		TRUE
access	authSystem	The authentication system is used to verify the user or group to whom access is allowed or denied.		TRUE
allow	principal	The user or group (principal) for which the access control applies.		FALSE
allow	permission	The type of permission being granted or denied.		FALSE
deny	principal	The user or group (principal) for which the access control applies.		FALSE
deny	permission	The type of permission being granted or denied.		FALSE
attribute	attributeName	The name of the attribute		FALSE
attribute	attributeLabel	A label for displaying an attribute name.		FALSE
attribute	attributeDefinition	Precise definition of the attribute		FALSE
attribute	storageType	Storage type hint for this field		FALSE
attribute	measurementScale	The measurement scale for the attribute.		FALSE
attribute	missingValueCode	Character for missing value in the data of the field		FALSE
attribute	accuracy	The accuracy of the attribute. This information should describe any accuracy information that is known about the collection of this data attribute.		FALSE
attribute	coverage	An explanation of the coverage of the attribute.		FALSE
attribute	methods	An explanation of the methods involved in the collection of this attribute.		FALSE
attribute	references	The id of another element in this EML document to be used to here in this context.		FALSE
attribute	id			TRUE
attribute	system			TRUE
attribute	scope			TRUE
storageType	typeSystem	The system used to define the storage types. This should be an identifier of a well known and published typing system.		TRUE
measurementScale	nominal	Characteristics used to define nominal (categorical) scale attributes		FALSE
measurementScale	ordinal	Characteristics used to define ordinal (ordered) scale attributes		FALSE
measurementScale	interval	Characteristics used to define interval scale attributes		FALSE
measurementScale	ratio	Characteristics used to define ratio scale attributes		FALSE
measurementScale	dateTime	Characteristics used to define date and time attributes		FALSE
nominal	nonNumericDomain			FALSE
nonNumericDomain	enumeratedDomain	Description of any coded values associated with the attribute.		FALSE
nonNumericDomain	textDomain	Description of a free-text domain pattern for the attribute		FALSE
nonNumericDomain	references	The id of another element in this EML document to be used to here in this context.		FALSE
nonNumericDomain	id			TRUE
ordinal	nonNumericDomain			FALSE
interval	unit			FALSE
interval	precision			FALSE
interval	numericDomain			FALSE
unit	standardUnit	The name of a standard unit used to make this measurement		FALSE
unit	customUnit	The name of a custom unit used to make this measurement.		FALSE
numericDomain	numberType			FALSE
numericDomain	bounds	Elements for specifying allowed values range.		FALSE
numericDomain	references	The id of another element in this EML document to be used to here in this context.		FALSE
numericDomain	id			TRUE
ratio	unit			FALSE
ratio	precision			FALSE
ratio	numericDomain			FALSE
dateTime	formatString	A format string that describes the format for a date-time value from the Gregorian calendar.		FALSE
dateTime	dateTimePrecision	An indication of the precision of a date or time value		FALSE
